ds,y
2010,4364
2011,4643
2012,6902
2013,7049
2014,7082
2015,6539
2016,6213
2017,5058
2018,4990
2019,7391
2020,7111
2021,7337
2022,7027
2023,6215
2024,5124
2025,5116
2026,8122
2027,7527
2028,6946
2029,7024
2030,6126
2031,5198
2032,4460
2033,7311
2034,6688
2035,7115
2036,6968
2037,6619
2038,5123
2039,4881
2040,6962
2041,7212
2042,7228
2043,6687
2044,6409
2045,5113
2046,4753
2047,7029
2048,6262
2049,6558
2050,6471
2051,6065
2052,4935
2053,4600
2054,6574
2055,7164
2056,7022
2057,6322
2058,6178
2059,4990
2060,4761
2061,6560
2062,6728
2063,6340
2064,6355
2065,6015
2066,5406
2067,4496
2068,6810
2069,7782
2070,6611
2071,6176
2072,6201
2073,4937
2074,5147
2075,4915
2076,7092
2077,6845
2078,6669
2079,6664
2080,4889
2081,4626
2082,6657
2083,6515
2084,6749
2085,6753
2086,6474
2087,5520
2088,4773
2089,7102
2090,6587
2091,6528
2092,6309
2093,5994
2094,5334
2095,4909
2096,6598
2097,6210
2098,6932
2099,6206
2100,6864
2101,7291
2102,5562
2103,7113
2104,6462
2105,6917
2106,6576
2107,6017
2108,4670
2109,4606
2110,4919
2111,7264
2112,6350
2113,6524
2114,6757
2115,6346
2116,7315
2117,9752
2118,7427
2119,6785
2120,6304
2121,6391
2122,5965
2123,4653
2124,7455
2125,7334
2126,6707
2127,6515
2128,6412
2129,5473
2130,4604
2131,6610
2132,5937
2133,6395
2134,6408
2135,6403
2136,5038
2137,4723
2138,7544
2139,6200
2140,4646
2141,5542
2142,9933
2143,6261
2144,5207
2145,6970
2146,7560
2147,7262
2148,6373
2149,6870
2150,5563
2151,5313
2152,8541
2153,7808
2154,6182
2155,3647
2156,4541
2157,4169
2158,4763
2159,7860
2160,6830
2161,6590
2162,7008
2163,6791
2164,5166
2165,4755
2166,7195
2167,6646
2168,6492
2169,6071
2170,5890
2171,5040
2172,4267
2173,6422
2174,6419
2175,6319
2176,5830
2177,5968
2178,5912
2179,4879
2180,6557
2181,5415
2182,5323
2183,4569
2184,3243
2185,3374
2186,3882
2187,6658
2188,6697
2189,6335
2190,4741
2191,4315
2192,4569
2193,4806
2194,8988
2195,12035
2196,8429
2197,7151
2198,6522
2199,5036
2200,4893
2201,7912
2202,7548
2203,8583
2204,7742
2205,6075
2206,4410
2207,4445
2208,6308
2209,10376
2210,7781
2211,7451
2212,9085
2213,5202
2214,4517
2215,8127
2216,8444
2217,8093
2218,6609
2219,6353
2220,5035
2221,4634
2222,6285
2223,6551
2224,6400
2225,6727
2226,6145
2227,4882
2228,4696
2229,6401
2230,6831
2231,6894
2232,7276
2233,8810
2234,7597
2235,9920
2236,8731
2237,9208
2238,7543
2239,7206
2240,6966
2241,5226
2242,4557
2243,7178
2244,6925
2245,7489
2246,7739
2247,7305
2248,5402
2249,4692
2250,6845
2251,6767
2252,6871
2253,7105
2254,6194
2255,5342
2256,4607
2257,6769
2258,7092
2259,6854
2260,6919
2261,7025
2262,5217
2263,4740
2264,7104
2265,7134
2266,6797
2267,7198
2268,6624
2269,5482
2270,5060
2271,6500
2272,6911
2273,6938
2274,6526
2275,5632
2276,5141
2277,4616
2278,6004
2279,7730
2280,7322
2281,6747
2282,6454
2283,5289
2284,6305
2285,6987
2286,7567
2287,6909
2288,6329
2289,6640
2290,4963
2291,4750
2292,6718
2293,6577
2294,6553
2295,6596
2296,6580
2297,5168
2298,5050
2299,6810
2300,6876
2301,6525
2302,6129
2303,6804
2304,5040
2305,4804
2306,6636
2307,6299
2308,6320
2309,6395
2310,6474
2311,5559
2312,4713
2313,6941
2314,7328
2315,6792
2316,6913
2317,6738
2318,6989
2319,4826
2320,7610
2321,6800
2322,7134
2323,6991
2324,6358
2325,5694
2326,4965
2327,7152
2328,6722
2329,6722
2330,6757
2331,7237
2332,5626
2333,5422
2334,7320
2335,6975
2336,7468
2337,7375
2338,6674
2339,5539
2340,5443
2341,4889
2342,8280
2343,7580
2344,7231
2345,6684
2346,5848
2347,5001
2348,7946
2349,7479
2350,6833
2351,7062
2352,7120
2353,6089
